Firm Name,Address,Country,Ineligibility Period (From),Ineligibility Period (To),Grounds
EMMYWAYS ENGINEERING/CONSTRUCTION LIMITED*487,"HEAD OFFICE AT ANTAFIO BARIFA ROAD, PLOT 2 AYIVU CLOSE, P.O. BOX 1093, ARUA",Uganda,2019-06-18,2999-12-29,"Procurement Guidelines, 1.16(a)(ii)"
MR. ROBINSON EKENEDILICHUKWU OJOKO*465,"NO. 2, PINTO AVENUE, GANA SAPELE, DELTA STATE",Nigeria,2019-02-05,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
WATER SUPPLY AND SEWERAGE CONSTRUCTION JSC NO. 1 (VIWASEEN.1)(Reg. No: 0101887839)*617,"NO. 56 ALLEY 85, HA DINH STR., THANH XUAN, HA NOI",Viet Nam,2022-09-26,2999-12-31,Controlled Affiliate of a Sanctioned Entity
"ZHONGCHEN ROAD & BRIDGE CONSTRUCTION (BEIJING) CO., LTD.*488","ROOM 205, BEIJING WUTAISHAN HOTEL, ZONGHE BUILDING, LEVEL 1, 2 & 3, JIA 23 TAIPING ROAD, BEIJING",China,2019-06-20,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
DRILLING AND WATER SUPPLY SEWERAGE CONSTRUCTION JSC (VIWASEEN.11)(Reg. No: 0304459758)*617,"NO.10 PHO QUANG, WARD NO. 2, TAN  BINH DIST., HO CHI MINH CITY",Viet Nam,2022-09-26,2999-12-31,Controlled Affiliate of a Sanctioned Entity
VODOKANALPROEKT – METALPROECT INGENEERING AD*519,"24 KAMEN ANDREEV ST., FL. 8, SOFIA 1606",Bulgaria,2020-03-10,2999-12-31,"May 2010 Procurement Guidelines, Paragraph 1.14(a)(ii)"
WATER SUPPLY AND SEWERAGE CONSTRUCTION JSC NO. 12 (VIWASEEN.12)(Reg. No: 4200619612)*617,"LOT BT15, NR. 18,19 PHUOC LONG URBAN AREA, PHUOC LONG. NHA TRANG, KHANH HOA",Viet Nam,2022-09-26,2999-12-31,Controlled Affiliate of a Sanctioned Entity
PT. NUGRAHA ADI TARUNA*496,"JL. KALIBATA INDAH BLOK T NO. 16, PANCORAN, JAKARTA SELATAN, JAKARTA 12510",Indonesia,2019-08-02,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
ROJOKE CNE SERVICES LTD.*465,"NO. 2, PINTO AVENUE, GANA SAPELE, DELTA STATE",Nigeria,2019-02-05,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
CNE ENVIRONMENTAL & WASTE SERVICES LTD.*465,"NO. 2, PINTO AVENUE, GANA SAPELE, DELTA STATE",Nigeria,2019-02-05,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
"JIANGXI LUQIAO ENGINEERING GROUP CO., LTD.(江西省路桥工程集团有限公司)*457","FLOOR 8, ZHONGHANG INTERNATIONAL PLAZA, 1 NORTH GANJIANG AVENUE, NANCHANG CITY",China,2017-12-19,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
"LONGNAN WUZHE TUNNEL ENGINEERING CO., LTD.(陇南武浙隧道工程有限公司)*457","GENERAL OFFICE BUILDING NO. 3, MUNICIPAL CENTER, DONGJIANG NEW DISTRICT, DONGJIANG TOWN, WUDU DISTRICT, LONGNAN CITY, GANSU PROVINCE",China,2017-12-19,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
"JIANGXI HAOZHE CONSTRUCTION ENGINEERING CO., LTD.(江西昊哲建设工程有限公司)*457","STORE 308#, BLOCK G5, TIME GARDEN, 86 QIANDONG AVENUE, SHUIDONG TOWN, ZHANGGONG DISTRICT, GANZHOU CITY, JIANGXI PROVINCE",China,2017-12-19,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
"HUBEI LAOGU HIGHWAY DEVELOPMENT CO., LTD.(湖北老谷高速公路开发有限公司)*457","5 NORTH CHECHENG LAKE ROAD, XIANGZHOU DISTRICT, XIANGYANG CITY, HUBEI PROVINCE",China,2017-12-19,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
NOVOLINE RESOURCES L.P.*555,"OFFICE 1, 145 KILMARNOCK ROAD, GLASGOW, G41 3JA, SCOTLAND",United Kingdom,2020-11-30,2999-12-31,"2016 Procurement Regulations, sub-paragraph 2.2 a(ii) of Annex IV"
JUCKON CONSTRUCTION AND ALLIED SERVICES NIGERIA LIMITED*554,"10 ODOZI OBODO STREET, OFF EZENEI ROAD, ASABA, DELTA STATE",Nigeria,2020-11-20,2999-12-31,"Procurement Guidelines, 1.16(a)(i)"
CASS CONSTRUCTORES S.A.S.*539,"CARRERA 7A KM. 16, VEREDA FUSCA, LOTE SHOSUA, CHÍA CUNDINAMARCA",Colombia,2020-08-18,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
VN1 INDUSTRIAL GROUP JSC*564,"56B, NGUYEN DONG CHI ROAD, NAM HONG WARD, HONG LINH, HA TINH PROVINCE",Viet Nam,2021-01-05,2025-01-04,Corrupt Practices
PT. JAYA ETIKA TEKNIK*571,"JL. KETINTANG BARU SELATAN VII/6, SURABAYA 60235",Indonesia,2021-03-16,2999-12-31,Corrupt Practice
FEDDERS LLOYD CORPORATION LIMITED*320,"159 OKHLA INDUSTRIAL ESTATE, PHASE III 110020, NEW DELHI",India,2016-04-06,2999-12-31,"2004 & 2010 Procurement Guidelines,1.14(a)(ii)"
"SPEEDTECH ENERGY CO., LTD.*558","5TH FLOOR, NO. 568, SEC. I, MIN-SHENG N. ROAD, KWEI-SHAN HSIANG, TAOYUANY HSIEN 33393","Taiwan, China",2020-12-08,2024-12-07,"Procurement Guidelines, 1.14(a)(ii), 1.16(a)(ii)"
SPEEDTECH ENERGY BURKINA FASO S.A.*561,"SECTEUR 16, RUE DE L’UNFPA, PORTE 580, OUAGA, 10 BP 13904, OUAGADOUGOU 10",Burkina Faso,2020-12-15,2024-12-14,"Procurement Guidelines, 1.14(a)(ii), 1.16(a)(ii)"
LUXPORT EXPORT LTD.*560,"2003, 20/F, TOWER 5, CHINA HONG KONG CITY, 33 CANTON ROAD, TSIM SHA TSUI, KOWLOON, HONG KONG","Hong Kong SAR, China",2020-12-09,2999-12-31,"2016 Procurement Regulations, sub-paragraph 2.2 a(ii) of Annex IV"
SHARDA IMPEX (U.K.) LTD.,N/A,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
SHARDA IMPEX (U.K.) LTD.,LAGOS,Nigeria,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
SHEREENA AGRICULTURE LTD.,KANO,Nigeria,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
SHIVIND LTD.,ISLE OF MAN,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
SMAFORETAGARTJANST SRB AB,STOCKHOLM,Sweden,2003-08-15,2999-12-31,Procurement Guidelines 1.15(a)(ii)
SURENDRA SINGH,N/A,India,2001-04-30,2999-12-31,Procurement Guidelines 1.15(a)(ii)
SURENDRA SINGH,N/A,Uzbekistan,2001-04-30,2999-12-31,Procurement Guidelines 1.15(a)(ii)
SWEDCON KB,STOCKHOLM,Sweden,2001-03-30,2999-12-31,Consultant Guidelines 1.25(a)(i)
SWEDISH URBAN PLANNER & MANAGEMENT,STOCKHOLM,Sweden,2001-03-30,2999-12-31,Consultant Guidelines 1.25(a)(i)
VIKRAM DEEPAK GURSAHANEY,LAGOS,Nigeria,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
"ASIA COMMUNICATIONS CO., LTD*103","#51EO, ST. 366, SANGKAT TOUL SVAY, PREY I, KHAN CHAMKARMORN, CITY PHNOM PENH",Cambodia,2012-04-03,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
SUGDIYON LIMITED LIABILITY COMPANY*87,"163 KHAKHRINAU STREET, GARAUTY SETTLEMENT, DZHILIKUL DISTRICT, KHATLON PROVINCE",Tajikistan,2012-01-04,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
RIBALCO INTERNATIONAL,BERKSHIRE,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
MMK PROJECT SERVICES LIMITED*177,"POST OFFICE BOX 593, #30 BURHANI COMPLEX, MAGORE ST. UPANGA, DAR ES SALAAM",Tanzania,2014-01-31,2999-12-31,2002 Consultant Guidelines 1.25(a)(i)-(ii)
ALL NIPPON ENGINEERING CORPORATION (ANEC),YOKOHAMA,Japan,1999-10-27,2999-12-31,Consultant Guidelines 1.25(a)(i)
ALPHA CONSULTING & TRAINING,N/A,Burkina Faso,2004-10-25,2999-12-31,Consultant Guidelines 1.25(a)(i)
"CLOSED JOINT STOCK CO ""SHARORA""*73","KARIM DEVONA STREET 59, HISSAR RAYON, SHARORA DISTRICT",Tajikistan,2011-11-21,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
AGRICULTURAL DEVELOPMENT SERVICES LTD.,LONDON,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
FLAIR DEVELOPMENTS LTD.,ISLE OF MAN,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
CANADAX TECHNOLOGIES,"VERDUN, QUEBEC",Canada,1999-03-16,2999-12-31,Procurement Guidelines 1.15(a)(ii)
CHASE BERKELEY CAVENDISH LTD.,LONDON,United Kingdom,1999-04-08,2999-12-31,Procurement Guidelines 1.15(a)(ii)
CROWN SAKURA LTD.,LONDON,United Kingdom,1999-04-08,2999-12-31,Procurement Guidelines 1.15(a)(ii)
CYBERTEK INTERNATIONAL LTD.,LONDON,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
DRILL TECHNOLOGIES & CO.,LONDON,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
ECONOMIC CONSULTING GROUP,LONDON,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
THRUST TECHNOLOGIES & CO.,LONDON,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
TIMES INTERNATIONAL & CO.,LONDON,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
UNITED BASEL LTD.,ISLE OF MAN,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a) (i) & (ii)
IG-TOGO SARL*75,"173 MOBUTU SESE SEKO BOULEVARD, BP 391, LOMÉ",Togo,2011-11-22,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
INTER-RUSS LTD.,ISLE OF MAN,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
EASTERN BUILDERS AND ENGINEERS LIMITED*89,"P.O. BOX 9062, KAMPALA",Uganda,2012-01-31,2999-12-31,"Procurement Guidelines, 1.14(a)(i); 1.14(a)(ii)"
"GLOCOMS, INC.*10","40 E.CHICAGO AVENUE # 200, CHICAGO, IL, 60611",United States,2010-04-01,2999-12-31,"Consultant Guidelines 1.22(a)(ii), 1.25(a)(ii)"
MD. ABDUR RAZZAK*53,"LAST KNOWN ADDRESS: RAHMAN COLONY, C/O ANISUR RAHMAN, 2ND FLOOR, THANAPARA, POST OFFICE ISHURDI, DISTRICT PABNA",Bangladesh,2011-08-31,2999-12-31,Consultant Guidelines 1.25(a)(ii)
MIRNA INTERNATIONAL,BERKSHIRE,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
MARABEF GLOBAL LIMITED*412,"PLOT 117 OKIGWE ROAD, ABA-ABIA STATE",Nigeria,2018-01-11,2999-12-31,"Procurement Guidelines, 1.14(a)(i)"
MR. PATRICK ALOZIE ONWUKA*413,"SUITE B.39 SHIRKIR PLAZA, GARKI, ABUJA",Nigeria,2018-01-11,2999-12-31,"Procurement Guidelines, 1.14(a)(i)"
MARABEF GLOBAL LIMITED*412,"SUITE B.39 SHIRKIR PLAZA, GARKI, ABUJA",Nigeria,2018-01-11,2999-12-31,"Procurement Guidelines, 1.14(a)(i)"
NORTEX LINK LLP*411,"60A ZHANDOSOV STREET, OFFICE 406, BOSTANDYK DISTRICT, ALMATY, 050060",Kazakhstan,2018-01-05,2999-12-31,"Procurement Guidelines, 1.14(a)(iii) and 1.14(a)(v)"
MR. PATRICK ALOZIE ONWUKA*413,"PLOT 117 OKIGWE ROAD, ABA-ABIA STATE",Nigeria,2018-01-11,2999-12-31,"Procurement Guidelines, 1.14(a)(i)"
"ZHONGTAI CONSTRUCTION GROUP HOLDING CO., LTD.(中太建设集团股份有限公司)*414","NO. 20, GUANGYANG AVENUE, LANGFANG CITY, HEBEI PROVINCE, 065099",China,2018-01-12,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
"P-SQUARE ASSOCIATES, CO.*425","LAST KNOWN ADDRESS: UNIT 4A, 4TH FLOOR, J&P BUILDING, LOT 3, BLK 17.V.V. SOLIVEN AVE 1, SAN ISIDRO, CAINTA RIZAL",Philippines,2018-03-13,2999-12-31,"Consultant Guidelines, 1.22(a)(iii)"
NREM INTERNATIONAL INC.*456,"SUITE 1150, WORLD EXCHANGE PLAZA, 25 O’CONNOR STREET, OTTAWA, ONTARIO, K1P 1A4",Canada,2018-11-29,2999-12-31,"Para. 1.22(a)(ii), May 2010 Consultant Guidelines"
ENG. JOSE PALAC*426,"LAST KNOWN ADDRESS: UNIT 4A, 4TH FLOOR, J&P BUILDING, LOT 3, BLK 17.V.V. SOLIVEN AVE 1, SAN ISIDRO, CAINTA RIZAL",Philippines,2018-03-13,2999-12-31,"Consultant Guidelines, 1.22(a)(iii)"
CORONADO INGENIEROS S.A.(Tax Registration No. 251002-9510) *387,"HOSPITAL HUMBERTO ALVARADO 1 CUADRA AL ESTE, MASAYA",Nicaragua,2017-09-22,2999-12-31,"2006 Procurement Guidelines, 1.14(a)(i) & (ii)"
JOSE BENIGNO CORONADO MENDEZ(ID No. 001-030765-0048T) *388,"HOSPITAL HUMBERTO ALVARADO 1 CUADRA AL ESTE, MASAYA",Nicaragua,2017-09-22,2999-12-31,"2006 Procurement Guidelines, 1.14(a)(i) & (ii)"
RUTH ELI CUAREZMA FUENTES(ID No. 401-220966-0008F) *389,"C/O CORONADO INGENIEROS S.A., HOSPITAL HUMBERTO ALVARADO 1 CUADRA AL ESTE, MASAYA",Nicaragua,2017-09-22,2999-12-31,"2006 Procurement Guidelines, 1.14(a)(i) & (ii)"
NREM INTERNATIONAL INC.*456,"5914 GARTRELL ROAD, SUMMERLAND, BC V0H 1Z7",Canada,2018-11-29,2999-12-31,"Para. 1.22(a)(ii), May 2010 Consultant Guidelines"
NREM INTERNATIONAL INC.*456,"SUITE 1402, YUFEI PLAZA, 42 DONGZHIMENWAI DAJIE, BEIJING, 100027",China,2018-11-29,2999-12-31,"Para. 1.22(a)(ii), May 2010 Consultant Guidelines"
"LUGANG GROUP CO., LTD.(路港集团有限公司)*407","3RD FLOOR, NO. 56 NIUSHAN NORTH ROAD, WENZHOU CITY, ZHEJIANG, 325014",China,2017-12-19,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
ASIA PACIFIC CONSULTANT JOINT STOCK COMPANY*456,"NO. 2, LANE 12, NGUYEN NGOC NAI STREET, KHUONG MAI WARD, THANH XUAN DISTRICT, HANOI",Viet Nam,2018-11-29,2999-12-31,"Para. 1.22(a)(ii), May 2010 Consultant Guidelines"
HANOITC EXPERT JOINT STOCK COMPANY(now known as INTERNATIONAL REAL ESTATE CONSULTING AND INVESTMENT JOINT STOCK COMPANY) *456,"NO. 5, DINH CLUSTER, AN TRAI VILLAGE, VAN CAN COMMUNE, HOAI DUC DISTRICT, HANOI",Viet Nam,2018-11-29,2999-12-31,"Para. 1.22(a)(ii), May 2010 Consultant Guidelines"
"GUOJI CONSTRUCTION GROUP CO., LTD.(中国国基建设集团有限公司)*408","NO. 26 HANXIGUAN STREET, BUILDING 38 #401, TAIYUAN CITY, SHANXI PROVINCE, 030012",China,2017-12-19,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
"CENTER FOR ENVIRONMENTAL STUDIES AND MANAGEMENT, INC. (CESM)*378","SUITE 210, QUADSTAR BLDG. NO. 80 ORTIGAS AVENUE, GREENHILLS, SAN JUAN CITY, 1502, METRO MANILA",Philippines,2017-06-29,2999-12-31,"2006 Consultant Guidelines, para. 1.22(a)(ii)"
MIDDLE SOUTH UNION ELECTRIC CO. LTD.(中南联合电气有限公司) *399,"WENZHOU BRIDGE INDUSTRY ZONE, BEIBAIXIANG TOWN, YUEQING CITY, ZHEJIANG",China,2017-10-31,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
PROYECTOS DIVERSOS INTEGRADOS SA DE CV (PRODIEL)*385,"URBANIZACION NUEVOS HORIZONTES, FINAL CALLE 2, CASA NÚMERO 10, SAN MARTÍN, DEPARTAMENTO DE SAN SALVADOR, SAN SALVADOR",El Salvador,2017-09-13,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
LA MÉDITERRANÉENNE DU BÂTIMENT ET DE LA CONSTRUCTION*453,"RUE TANJANIKA - IMMEUBLE HANNIBAL, 4TH FLOOR, 1053 LES BERGES DU LAC, TUNIS",Tunisia,2018-08-29,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
INGENIEROS CIVILES ASOCIADOS S.A.*359,"AV. 6 DE AGOSTO NO. 2577, EDIF. LAS DOS TORRES, PISO 9, LA PAZ",Bolivia,2017-02-01,2999-12-31,"2010 Procurement Guidelines, 1.14(a)(iii)"
MS. LLOLY YANA DE JESUS(now known as Ms. Lloly Emano Yana) *427,"PRESIDENT, INNOGY SOLUTIONS, INC., UNIT 1217-1219 CITY & LAND MEGA PLAZA, ADB AVENUE CORNER GARNET ROAD, ORTIGAS CENTER, PASIG CITY",Philippines,2018-03-16,2999-12-31,"2006, 2011 Consult. Guidelines, Fraudulent and Collusive Practices"
NATIONAL ALIMENTATION SERVICES*421,"TABARRE 60 # 58, EN FACE DE LA SUNAUTO, PORT-AU-PRINCE",Haiti,2018-02-13,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
DATEX HAITI*420,"33 PARC INDUSTRIEL (SONAPI), DELMAS",Haiti,2018-02-13,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
AVTOBANI LTD.*439,"LAST KNOWN ADDRESS: APT. 44, #22 DIMITRY TAVDADEBULI STR., TBILISI",Georgia,2018-05-30,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)"
MR. SHALVA BUBUTEISHVILI*440,"LAST KNOWN ADDRESS: APT. 44, #22 DIMITRY TAVDADEBULI STR., TBILISI",Georgia,2018-05-30,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)"
"SERVICIOS DE INGENIERÍA Y CONSTRUCCIONES, S.A. (SICSA)*428","MEMORIAL SANDINO, SOMBRERO 3 C/A AL ESTE, MANAGUA",Nicaragua,2018-03-27,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
NATIONAL ALIMENTATION SERVICES*421,"39 TABARRE, 48 BLVD 15 OCTOBRE, PORT-AU-PRINCE",Haiti,2018-02-13,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
T&G LTD.*438,"LAST KNOWN ADDRESS: APT. 44, #22 DIMITRY TAVDADEBULI STR., TBILISI",Georgia,2018-05-30,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)"
CONSTRUCTORA J. C. SEGURA CONSTRUCCIONES S.A. – GAVINOR S.R.L. – UTE(Reg. No. 30-71200934-5) *418,"PASAJE JOSÉ A. RUÍZ NO. 330, 4400 SALTA",Argentina,2018-01-31,2999-12-31,"2011 Procurement Guidelines, 1.16(a)(ii)"
GAVINOR S.R.L.(Reg. No. 30-70797564-0) *416,"OLAVARRÍA 16, 4400 SALTA",Argentina,2018-01-31,2999-12-31,"2011 Procurement Guidelines, 1.16(a)(ii)"
MR. ANDRE KOLL*447,"SCHOENE AUSSICHT 6, D-61348, BAD HOMBURG",Germany,2018-06-26,2999-12-31,"Procurement Guidelines, 1.14(a)(i)"
NATIONAL BIO-MEDICAL PVT. LTD.*432,"TRIPURAPATH, TRIPURESHWOR, KATHMANDU",Nepal,2018-04-10,2999-12-31,"Procurement Guidelines, 1.14(a)(i)-(ii)"
MR. SHALVA BUBUTEISHVILI*440,"LAST KNOWN ADDRESS: VAZHA PSHAVELA 45, TBILISI",Georgia,2018-05-30,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)"
MR. NABARAJ BASNET*433,"MANAGING DIRECTOR, NATIONAL BIO-MEDICAL PVT. LTD., TRIPURAPATH, TRIPURESHWOR, KATHMANDU",Nepal,2018-04-10,2999-12-31,"Procurement Guidelines, 1.14(a)(i)"
T&G LTD.*438,"LAST KNOWN ADDRESS: DIDIDIGOMI TAVDADEBULI STR. 22, FLAT 44, TBILISI 0131",Georgia,2018-05-30,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)"
AVTOBANI LTD.*439,"LAST KNOWN ADDRESS: DIDIDIGOMI TAVDADEBULI STR. 22, FLAT 5, TBILISI 0131",Georgia,2018-05-30,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)"
AVTOBANI LTD.*439,"LAST KNOWN ADDRESS: VAZHA PSHAVELA 45, TBILISI",Georgia,2018-05-30,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)"
MR. SHALVA BUBUTEISHVILI*440,"LAST KNOWN ADDRESS: DIDIDIGOMI TAVDADEBULI STR. 22, FLAT 5, TBILISI 0131",Georgia,2018-05-30,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)"
T&G LTD.*438,"LAST KNOWN ADDRESS: VAZHA PSHAVELA 45, TBILISI",Georgia,2018-05-30,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)"
WILIAN LEONEL CANO HERNÁNDEZ,"3RA AVENIDA CALZADA MAURO PAZ 0-51, ZONA 1, CUYOTENANGO, SUCHITÉPEQUEZ",Guatemala,2018-06-04,2025-04-29,Cross-Debarment: IDB
CONSTRUCTORA ECOP,"3RA CALLE 2-28, ZONA 3, SAN MATEO, QUETZALTENANGO",Guatemala,2018-06-04,2025-04-29,Cross Debarment: IDB
JULIO ENRIQUE REYNA ARREAGA,"EDIFICIO PLAZA POLANCO. ZONA 1, TERCER NIVEL, ""COMICASA"", QUETZALTENANGO",Guatemala,2018-06-04,2030-04-26,Cross-Debarment: IDB
EMIGDIO OSVALDO PÉREZ JUÁREZ,"3RA CALLE 2-28, ZONA 3, SAN MATEO, QUETZALTENANGO",Guatemala,2018-06-04,2025-04-29,Cross-Debarment: IDB
CONSTRUCTORA FEDPAR FORMUPROYECTOS,"3RA AVENIDA CALZADA MAURO PAZ 0-51, ZONA 1, CUYOTENANGO, SUCHITÉPEQUEZ",Guatemala,2018-06-04,2025-04-29,Cross-Debarment: IDB
PT. GUNAKARYA NUSANTARA*451,"JL. SURYALAYA XVIII NO. 13 – 15, BUAH BATU, BANDUNG 40265, WEST JAVA",Indonesia,2018-07-31,2999-12-31,"Procurement Guidelines, 1.25(a)(ii)"
AFRICA RAILWAYS LOGISTICS LIMITED*434,"AUGENTIUS FUND ADMINISTRATION (MAURITIUS) LIMITED LEVEL 3, ALEXANDER HOUSE, 35 CYBERCITY, EBENE",Mauritius,2018-04-13,2999-12-31,IFC Anti-Corruption Guidelines
M/S RKD CONSTRUCTION PVT. LTD.(Reg. No: U452030R1996PTC004295)*431,"B-20, CHANDAKA INDUSTRIAL ESTATE, PATIA, BHUBANESWAR 751024",India,2018-03-27,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
MR. KHUDA DAD*442,"PLOT NO. 10205 RIGHT PORTION, MONDAHRA COLONY, GULSHAN-E-NAVEED, HUB TOWN LASBELA, BALOCHISTAN",Pakistan,2018-06-05,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
LATIFI CONSTRUCTION AND ROAD CONSTRUCTION COMPANY*443,"HEAD OFFICE ADDRESS #1: 10TH STREET MAIN ROAD OF WAZIR AKBAR KHAN, NEXT TO THE CHILDREN HOSPITAL, KABUL",Afghanistan,2018-06-12,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
JOYLUCK VENTURE INDIA PVT. LTD.*477,"S-481 GREATER KAILASH-II, NEW DELHI, SOUTH DELHI, 110048",India,2019-10-07,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
ALAM & SONS GOVERNMENT CONTRACTOR & GENERAL ORDER SUPPLIER*441,"PLOT NO. 10205 RIGHT PORTION, MONDAHRA COLONY, GULSHAN-E-NAVEED, HUB TOWN LASBELA, BALOCHISTAN",Pakistan,2018-06-05,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. ZIAUR RAHMAN*475,"HOUSE 21, ROAD 28, BLOCK-K, BANANI MODEL TOWN, DHAKA, 1213",Bangladesh,2019-04-24,2025-10-23,"May 2010 Procurement Guidelines, Paras. 1.14(a)(i) and (iii)"
LATIFI CONSTRUCTION AND ROAD CONSTRUCTION COMPANY*443,"HEAD OFFICE ADDRESS #2: HOUSE #485, 15TH STREET, MAIN ROAD OF WAZIR AKBAR KHAN, BACK SIDE OF FINEST STORE, KABUL",Afghanistan,2018-06-12,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
M/S TECHFAB INTERNATIONAL PVT. LTD.*477,"507 EROS APARTMENTS, 56 NEHRU PLACE, NEW DELHI 110019",India,2019-05-07,2999-12-31,"2010 Proc. Guidelines, 1.14(a)(ii); 2011 Proc. Guidelines, 1.16(a)(ii)"
CHASHA LANDS PVT. LTD.*477,"S-481 GREATER KAILASH-II, NEW DELHI, SOUTH DELHI, 110048",India,2019-10-07,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
MR. FRANCISCO ANTONIO BARAHONA MONTALVÁN*455,"1 CUADRA ANTES DE LA UCEM, CATACAMAS, OLANCHO",Honduras,2018-11-27,2999-12-31,"Consultant Guidelines, 1.22(a)(ii)"
EFEMAZ CONSTRUCTION AND GE. SERVICES LIMITED*458,"NO. 1 ERHURHIE STREET, EKIUGBO, UGHELLI, DELTA STATE",Nigeria,2018-12-13,2999-12-31,"Procurement Guidelines, 1.16(a)(i)"
MR. EFE MICHAEL UDUMEBRAYE*459,"NO. 1 ERHURHIE STREET, EKIUGBO, UGHELLI, DELTA STATE",Nigeria,2018-12-13,2999-12-31,"Procurement Guidelines, 1.16(a)(i)"
EFEMAZ CONSTRUCTION AND GE. SERVICES LIMITED*458,"HEAD OFFICE: PLOT 491, T.O.S. BENSON STREET, UTAKO DISTRICT, ABUJA, F.C.T.",Nigeria,2018-12-13,2999-12-31,"Procurement Guidelines, 1.16(a)(i)"
MR. FRANCISCO ANTONIO BARAHONA MONTALVÁN*455,"COL. LOMAS DE JACALEADA B “E” C-3514, TEGUCIGALPA",Honduras,2018-11-27,2999-12-31,"Consultant Guidelines, 1.22(a)(ii)"
MARCO VINICIO ARREAGA ESTRADA,"15 AVENIDA 19-43, ZONA 10, CIUDAD DE GUATEMALA",Guatemala,2018-08-01,2027-06-25,Cross-Debarment: IDB
SOCIÉTÉ TUNISIE TRAVAUX*466,"RUE ABOU BAKER ESSIDIK, CITÉ RIADH, 4023 SOUSSE",Tunisia,2019-02-05,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
MS. DULCE MARÍA QUINTANILLA GRANADOS*467,"CIUDAD SANDINO, CUERPO DE BOMBEROS 1 C. AL LADO ½ C. ABAJO, 75 VRS. AL LADO, (Z1Q-10), MANAGUA",Nicaragua,2019-02-15,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
